,Year,Month,Model,P25,EV,P75
0,2023,1,SEAsia,595.2992678438859,638.16,681.2592873172442
1,2023,1,Brazil,500.9717451360591,569.81,633.5704684366665
2,2023,1,MineNetBack,436.84845018911693,470.8,503.4396514131755
3,2023,1,ActualNetback,475.4395712715183,499.06,524.2088103135906
4,2023,2,SEAsia,591.2401541950342,633.59,679.6843168255481
5,2023,2,Brazil,492.31533166689155,563.14,634.9378431013147
6,2023,2,MineNetBack,430.62663917475743,469.25,501.1458884160244
7,2023,2,ActualNetback,436.16752386756446,458.96,490.28303347638325
8,2023,3,SEAsia,575.4795304409563,627.33,671.8280523012847
9,2023,3,Brazil,475.62746574498055,545.91,617.9565420814469
10,2023,3,MineNetBack,420.2543225798895,459.07,493.38278151754906
11,2023,3,ActualNetback,384.4867148429915,408.37,447.82423566856437
12,2023,4,SEAsia,541.7931363911642,588.6,641.1523288361668
13,2023,4,Brazil,537.2571629648291,600.28,663.6046994449775
14,2023,4,MineNetBack,431.650279632755,465.32,500.744537031983
15,2023,4,ActualNetback,361.5700388208236,402.47,429.8633529449985
16,2023,5,SEAsia,547.4019766368672,592.57,644.8475824986305
17,2023,5,Brazil,535.7939119146066,588.68,644.2140919398987
18,2023,5,MineNetBack,432.2131720622882,461.93,495.2561922411131
19,2023,5,ActualNetback,364.2737719270367,399.28,435.23827503546477
20,2023,6,SEAsia,544.4763504464846,588.36,634.5620064546836
21,2023,6,Brazil,546.023893433241,586.88,630.7259565969497
22,2023,6,MineNetBack,432.59452179689987,459.02,488.4233222202229
23,2023,6,ActualNetback,373.300015522903,399.59,440.8756481892524
24,2023,7,SEAsia,557.9001084563783,594.91,634.7858578763241
25,2023,7,Brazil,593.2889194224178,621.86,653.8164403064171
26,2023,7,MineNetBack,451.12767238083734,475.53,496.2176443909344
27,2023,7,ActualNetback,373.4150480969744,402.74,439.1215400830992
28,2023,8,SEAsia,554.5592784358653,586.39,617.5444199326146
29,2023,8,Brazil,542.5829174864539,559.94,579.9399556550719
30,2023,8,MineNetBack,428.6749599442027,448.22,463.0091825962369
31,2023,8,ActualNetback,365.0026188699944,392.04,424.50067466868387
32,2023,9,SEAsia,572.524138268011,594.96,618.206102962976
33,2023,9,Brazil,572.164195652168,583.99,594.8024201911112
34,2023,9,MineNetBack,446.59940203468983,457.89,471.2847845593654
35,2023,9,ActualNetback,373.2164867591936,398.16,424.7502291855222
36,2023,10,SEAsia,582.2085934446021,592.8,606.3183878661388
37,2023,10,Brazil,589.1620029510179,596.96,605.7324537312937
38,2023,10,MineNetBack,457.83031739811236,465.95,471.1695287883945
39,2023,10,ActualNetback,396.6527273685082,420.24,438.73508042114065
40,2023,11,SEAsia,589.5415115417277,593.11,595.6530951541898
41,2023,11,Brazil,589.6745771865783,596.75,604.681864527111
42,2023,11,MineNetBack,461.3582734084349,464.08,467.4758214101008
43,2023,11,ActualNetback,399.94005145429134,418.57,432.0760896768335
44,2023,12,SEAsia,589.3760290822565,590.94,593.2839619397156
45,2023,12,Brazil,579.1598185296787,587.26,594.1675422819925
46,2023,12,MineNetBack,456.7391449165526,459.82,462.4043919834897
48,2023,12,ActualNetback,403.77885701004175,414.12,424.10445939468593
