"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2018","115.00","115.00","115.00","115.00","","0.00%"
"Dec 01, 2017","115.00","109.95","117.28","104.05","7.34M","4.60%"
"Nov 01, 2017","109.94","110.02","110.25","103.51","5.79M","0.94%"
"Oct 01, 2017","108.92","107.25","110.57","104.89","5.52M","1.59%"
"Sept 01, 2017","107.21","98.45","110.42","96.67","6.56M","9.35%"
"Aug 01, 2017","98.04","100.28","101.92","95.80","9.31M","-2.06%"
"Jul 01, 2017","100.10","91.00","100.97","89.34","9.62M","10.62%"
"Jun 01, 2017","90.49","92.70","96.98","89.92","10.67M","-1.99%"
"May 01, 2017","92.33","94.44","94.52","87.82","9.64M","-1.70%"
"Apr 01, 2017","93.93","95.61","96.05","90.09","7.43M","-1.70%"
"Mar 01, 2017","95.55","97.96","100.47","93.82","12.96M","-1.09%"
"Feb 01, 2017","96.60","102.89","107.76","96.47","8.52M","-6.13%"
"Jan 01, 2017","102.91","100.70","111.88","100.08","8.84M","2.35%"
"Dec 01, 2016","100.55","101.43","109.73","98.50","8.20M","-0.30%"
"Nov 01, 2016","100.85","92.52","101.94","88.65","11.07M","9.83%"
"Oct 01, 2016","91.82","90.27","94.45","87.78","9.51M","1.25%"
"Sept 01, 2016","90.69","96.18","98.95","88.21","19.59M","-5.88%"
"Aug 01, 2016","96.36","90.61","100.24","87.75","17.37M","6.17%"
"Jul 01, 2016","90.76","89.90","96.61","87.62","11.38M","0.38%"
"Jun 01, 2016","90.42","90.05","96.68","87.68","16.39M","0.24%"
"May 01, 2016","90.20","86.36","92.05","83.15","23.29M","4.74%"
"Apr 01, 2016","86.12","87.49","90.00","81.17","20.27M","-2.46%"
"Mar 01, 2016","88.29","87.51","92.94","85.91","21.22M","2.75%"
"Feb 01, 2016","85.93","87.24","87.87","79.94","23.74M","-1.08%"
"Jan 01, 2016","86.87","88.10","91.01","81.06","19.68M","-2.76%"
