Date,Price,Open,High,Low,Vol.,Change %
2002-01-01,9.57,10.67,10.8,9.35,3.50M,-9.72%
2002-02-01,9.95,9.62,10.16,8.8,5.20M,3.97%
2002-03-01,10.52,9.97,10.55,9.26,15.96M,5.73%
2002-04-01,9.75,10.5,10.55,9.61,4.59M,-7.32%
2002-05-01,10.15,9.74,10.4,9.2,7.37M,4.10%
2002-06-01,9.4,10.05,10.24,9.16,5.46M,-7.39%
2002-07-01,8.6,9.5,9.7,8.01,5.69M,-8.51%
2002-08-01,9.29,8.61,10.0,8.01,5.35M,8.02%
2002-09-01,9.15,9.39,9.46,8.65,6.30M,-1.51%
2002-10-01,9.84,9.24,10.8,9.15,6.92M,7.54%
2002-11-01,11.26,9.85,11.41,9.85,4.65M,14.43%
2002-12-01,11.31,10.9,11.44,10.75,4.09M,0.44%
2003-01-01,10.84,11.31,11.86,10.53,4.72M,-4.16%
2003-02-01,10.74,10.9,10.9,9.4,5.72M,-0.92%
2003-03-01,10.75,10.7,11.15,10.1,7.09M,0.09%
2003-04-01,11.31,10.7,11.37,10.58,3.80M,5.21%
2003-05-01,11.9,11.4,12.33,11.08,9.73M,5.22%
2003-06-01,10.96,11.91,11.96,10.36,9.77M,-7.90%
2003-07-01,11.2,10.86,11.58,10.58,7.83M,2.19%
2003-08-01,12.15,11.27,12.29,10.52,6.03M,8.48%
2003-09-01,12.56,12.18,13.42,12.18,7.48M,3.37%
2003-10-01,15.37,12.66,15.73,12.5,10.29M,22.37%
2003-11-01,16.35,15.27,16.45,15.26,8.13M,6.38%
2003-12-01,16.46,16.3,16.61,14.98,8.48M,0.67%
2004-01-01,16.0,16.51,16.96,15.35,5.44M,-2.79%
2004-02-01,14.83,15.95,16.12,14.15,8.26M,-7.31%
2004-03-01,14.7,14.87,15.0,13.15,13.30M,-0.88%
2004-04-01,12.44,14.92,15.19,12.14,18.45M,-15.37%
2004-05-01,13.16,12.5,13.4,11.7,11.25M,5.79%
2004-06-01,14.55,13.2,14.65,13.0,8.03M,10.56%
2004-07-01,14.44,14.5,14.85,13.68,8.19M,-0.76%
2004-08-01,15.55,13.9,15.72,13.83,9.76M,7.69%
2004-09-01,17.76,15.6,18.0,15.34,12.21M,14.21%
2004-10-01,16.6,17.6,18.02,15.45,9.11M,-6.53%
2004-11-01,18.58,16.59,18.75,16.47,9.74M,11.93%
2004-12-01,16.85,18.6,18.7,15.57,15.01M,-9.31%
2005-01-01,16.14,16.85,17.0,14.36,17.59M,-4.21%
2005-02-01,18.1,16.05,18.1,15.1,14.47M,12.14%
2005-03-01,18.25,18.07,18.99,17.04,14.00M,0.83%
2005-04-01,17.8,18.35,19.22,16.33,9.26M,-2.47%
2005-05-01,18.89,17.92,19.7,17.43,12.05M,6.12%
2005-06-01,19.61,18.95,21.5,18.87,12.74M,3.81%
2005-07-01,22.87,19.63,23.48,19.6,8.83M,16.62%
2005-08-01,21.5,23.05,24.53,20.79,11.98M,-5.99%
2005-09-01,21.97,21.55,22.99,20.19,11.93M,2.19%
2005-10-01,21.21,21.97,22.27,19.14,9.02M,-3.46%
2005-11-01,20.41,21.21,21.59,20.0,8.18M,-3.77%
2005-12-01,21.99,20.41,22.6,19.82,7.96M,7.74%
2006-01-01,23.85,22.0,24.51,21.49,7.97M,8.46%
2006-02-01,24.91,24.1,26.85,22.3,13.75M,4.44%
2006-03-01,25.26,24.84,26.62,23.62,13.15M,1.41%
2006-04-01,25.82,25.26,26.59,24.65,11.80M,2.22%
