"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2018","20.65","20.65","20.65","20.65","","0.00%"
"Dec 01, 2017","20.65","19.76","21.04","18.54","95.76M","5.09%"
"Nov 01, 2017","19.65","19.58","19.75","18.48","70.38M","0.92%"
"Oct 01, 2017","19.47","19.24","19.78","18.84","70.65M","1.20%"
"Sept 01, 2017","19.24","17.45","19.79","17.17","95.32M","10.64%"
"Aug 01, 2017","17.39","17.96","18.13","17.02","87.27M","-2.85%"
"Jul 01, 2017","17.90","16.38","18.14","16.04","110.42M","9.82%"
"Jun 01, 2017","16.30","16.54","17.39","16.13","108.48M","-1.33%"
"May 01, 2017","16.52","16.95","17.00","15.74","130.74M","-2.13%"
"Apr 01, 2017","16.88","17.07","17.22","16.10","90.89M","-1.17%"
"Mar 01, 2017","17.08","17.64","18.07","16.85","119.36M","-2.01%"
"Feb 01, 2017","17.43","18.70","19.42","17.40","102.54M","-6.29%"
"Jan 01, 2017","18.60","18.27","20.27","18.05","132.59M","2.82%"
"Dec 01, 2016","18.09","18.41","19.88","17.81","123.38M","-0.77%"
"Nov 01, 2016","18.23","16.30","18.47","15.87","149.15M","11.98%"
"Oct 01, 2016","16.28","16.24","17.03","15.72","136.38M","-0.25%"
"Sept 01, 2016","16.32","18.04","18.14","15.81","179.82M","-9.83%"
"Aug 01, 2016","18.10","15.60","18.42","15.23","222.77M","16.03%"
"Jul 01, 2016","15.60","16.25","17.56","15.21","220.58M","-3.94%"
"Jun 01, 2016","16.24","16.18","18.46","15.64","228.62M","-0.55%"
"May 01, 2016","16.33","17.77","17.81","15.50","171.57M","-7.84%"
"Apr 01, 2016","17.72","16.91","18.75","15.54","210.54M","4.11%"
"Mar 01, 2016","17.02","17.16","19.38","16.62","173.27M","0.47%"
"Feb 01, 2016","16.94","16.15","17.32","14.90","157.25M","3.93%"
"Jan 01, 2016","16.30","16.94","17.44","14.64","225.76M","-4.79%"
"Dec 01, 2015","17.12","20.30","20.43","16.65","158.28M","-15.33%"
"Nov 01, 2015","20.22","20.22","22.37","19.55","131.16M","-0.05%"
"Oct 01, 2015","20.23","20.69","22.28","19.47","176.53M","-1.56%"
"Sept 01, 2015","20.55","25.52","26.06","19.82","130.32M","-20.96%"
"Aug 01, 2015","26.00","27.12","27.77","23.90","114.04M","-4.34%"
"Jul 01, 2015","27.18","31.10","31.29","26.63","100.22M","-12.24%"
"Jun 01, 2015","30.97","31.54","32.18","30.13","93.14M","-1.62%"
"May 01, 2015","31.48","32.47","33.52","31.46","87.86M","-3.55%"
"Apr 01, 2015","32.64","32.42","33.80","32.10","64.84M","1.21%"
"Mar 01, 2015","32.25","35.69","36.15","31.88","105.85M","-10.17%"
"Feb 01, 2015","35.90","37.08","37.60","35.54","59.75M","-1.75%"
"Jan 01, 2015","36.54","35.46","37.36","34.44","74.57M","3.45%"
"Dec 01, 2014","35.32","34.48","36.00","33.87","78.22M","1.61%"
"Nov 01, 2014","34.76","34.18","36.98","32.38","95.99M","1.73%"
"Oct 01, 2014","34.17","34.39","34.60","31.39","127.53M","-1.13%"
"Sept 01, 2014","34.56","35.01","35.67","33.42","87.69M","-1.71%"
"Aug 01, 2014","35.16","35.50","35.78","34.11","62.35M","-0.93%"
"Jul 01, 2014","35.49","37.89","38.14","35.47","87.77M","-6.51%"
"Jun 01, 2014","37.96","36.18","38.58","35.17","84.45M","4.52%"
"May 01, 2014","36.32","36.09","37.46","35.77","87.53M","0.44%"
"Apr 01, 2014","36.16","35.92","36.24","33.27","103.71M","-0.17%"
"Mar 01, 2014","36.22","33.07","36.29","32.93","107.68M","8.80%"
"Feb 01, 2014","33.29","31.58","34.09","31.41","101.76M","6.29%"
"Jan 01, 2014","31.32","33.14","35.52","30.09","171.73M","-4.98%"
"Dec 01, 2013","32.96","31.50","33.17","30.42","124.83M","4.14%"
"Nov 01, 2013","31.65","31.13","33.24","30.81","138.82M","1.77%"
"Oct 01, 2013","31.10","31.21","33.21","29.95","148.83M","-0.58%"
"Sept 01, 2013","31.28","30.02","33.82","29.50","229.96M","5.53%"
"Aug 01, 2013","29.64","29.85","31.35","28.55","342.94M","2.21%"
"Jul 01, 2013","29.00","38.31","40.07","29.00","320.44M","-23.94%"
"Jun 01, 2013","38.13","42.15","42.21","37.96","86.59M","-9.26%"
"May 01, 2013","42.02","42.10","44.13","40.95","104.32M","-0.19%"
"Apr 01, 2013","42.10","39.80","42.15","37.79","88.81M","7.26%"
"Mar 01, 2013","39.25","39.84","41.69","38.81","67.58M","-2.10%"
"Feb 01, 2013","40.09","42.68","42.81","38.59","83.33M","-5.67%"
"Jan 01, 2013","42.50","41.44","44.05","40.75","97.83M","4.45%"
"Dec 01, 2012","40.69","38.76","41.31","38.37","68.36M","5.63%"
"Nov 01, 2012","38.52","40.34","40.81","36.94","77.51M","-4.58%"
"Oct 01, 2012","40.37","43.67","44.30","40.00","91.27M","-7.02%"
"Sept 01, 2012","43.42","40.98","44.56","40.23","120.83M","5.72%"
"Aug 01, 2012","41.07","44.49","44.82","40.03","111.61M","-7.00%"
"Jul 01, 2012","44.16","43.69","46.16","42.96","136.83M","1.08%"
"Jun 01, 2012","43.69","38.54","44.76","36.73","123.64M","10.52%"
"May 01, 2012","39.53","42.54","44.28","38.31","111.07M","-6.94%"
"Apr 01, 2012","42.48","45.88","47.42","41.92","117.55M","-7.03%"
"Mar 01, 2012","45.69","46.78","47.66","42.15","170.21M","-1.85%"
"Feb 01, 2012","46.55","47.22","48.00","43.92","123.41M","-0.41%"
"Jan 01, 2012","46.74","42.66","47.65","41.19","196.06M","13.23%"
"Dec 01, 2011","41.28","43.48","44.50","38.42","163.12M","-4.75%"
"Nov 01, 2011","43.34","45.31","49.59","40.54","143.65M","-8.43%"
"Oct 01, 2011","47.33","42.06","51.96","39.54","191.89M","9.51%"
"Sept 01, 2011","43.22","57.97","60.42","43.06","192.66M","-25.46%"
"Aug 01, 2011","57.98","59.96","59.96","48.93","219.19M","0.29%"
"Jul 01, 2011","57.81","56.62","62.60","55.67","135.75M","1.44%"
"Jun 01, 2011","56.99","56.39","57.14","50.60","175.85M","0.69%"
"May 01, 2011","56.60","56.88","57.87","50.09","187.14M","0.39%"
"Apr 01, 2011","56.38","59.79","61.80","54.68","158.47M","-4.33%"
"Mar 01, 2011","58.93","62.31","62.35","50.25","212.79M","-4.33%"
"Feb 01, 2011","61.60","59.97","63.97","54.40","248.44M","3.95%"
"Jan 01, 2011","59.26","52.10","59.57","51.12","300.42M","14.82%"
"Dec 01, 2010","51.61","48.50","51.68","45.38","195.78M","7.70%"
"Nov 01, 2010","47.92","48.68","49.59","44.22","494.38M","-0.91%"
"Oct 01, 2010","48.36","47.98","50.52","46.54","343.33M","0.73%"
"Sept 01, 2010","48.01","48.96","50.31","47.73","280.85M","-2.18%"
"Aug 01, 2010","49.08","35.55","51.10","35.25","698.77M","40.39%"
"Jul 01, 2010","34.96","28.61","35.25","27.95","315.31M","21.60%"
"Jun 01, 2010","28.75","32.72","34.19","28.63","267.92M","-13.04%"
"May 01, 2010","33.06","37.11","37.32","30.96","314.59M","-10.24%"
