Date,Open,High,Low,Close,Adj Close,Volume
2021-09-01,3.000000,3.600000,3.000000,3.600000,3.600000,1018055
2021-10-01,3.400000,4.490000,3.400000,4.050000,4.050000,1325520
2021-11-01,4.190000,4.380000,3.040000,3.130000,3.130000,1065000
2021-12-01,3.200000,3.940000,2.830000,3.940000,3.940000,638200
2022-01-01,3.650000,3.890000,3.160000,3.470000,3.470000,1277500
2022-02-01,3.480000,3.690000,2.700000,2.980000,2.980000,1481200
2022-03-01,2.980000,3.080000,2.700000,2.880000,2.880000,3037100
2022-04-01,2.890000,3.560000,2.820000,2.900000,2.900000,1813400
2022-05-01,2.950000,3.260000,2.460000,3.110000,3.110000,3392800
2022-06-01,2.790000,2.890000,2.330000,2.400000,2.400000,6834600
2022-07-01,2.400000,2.530000,1.880000,2.450000,2.450000,2086100
2022-08-01,2.460000,2.500000,2.120000,2.390000,2.390000,910000
