Date,Value
2014-01-01,1.3618
2014-02-01,1.3665
2014-03-01,1.3828
2014-04-01,1.381
2014-05-01,1.3739
2014-06-01,1.3595
2014-07-01,1.3533
2014-08-01,1.3315
2014-09-01,1.2889
2014-10-01,1.2677
2014-11-01,1.2473
2014-12-01,1.2329
2015-01-01,1.1615
2015-02-01,1.135
2015-03-01,1.0819
2015-04-01,1.0822
2015-05-01,1.1167
2015-06-01,1.1226
2015-07-01,1.0997
2015-08-01,1.1136
2015-09-01,1.1229
2015-10-01,1.1228
2015-11-01,1.0727
2015-12-01,1.0889
2016-01-01,1.0855
2016-02-01,1.1092
2016-03-01,1.1134
2016-04-01,1.1346
2016-05-01,1.1312
2016-06-01,1.1232
2016-07-01,1.1055
2016-08-01,1.1207
2016-09-01,1.1218
2016-10-01,1.1014
2016-11-01,1.0792
2016-12-01,1.0545
2017-01-01,1.0635
2017-02-01,1.065
2017-03-01,1.0691
2017-04-01,1.0714
2017-05-01,1.105
2017-06-01,1.1233
2017-07-01,1.153
2017-08-01,1.1813
2017-09-01,1.1913
2017-10-01,1.1755
2017-11-01,1.1743
2017-12-01,1.1836
2018-01-01,1.2197
2018-02-01,1.234
2018-03-01,1.2334
2018-04-01,1.227
2018-05-01,1.1823
2018-06-01,1.1679
2018-07-01,1.1685
2018-08-01,1.1547
2018-09-01,1.1667
2018-10-01,1.1488
2018-11-01,1.1364
2018-12-01,1.138
2019-01-01,1.1418
2019-02-01,1.1349
2019-03-01,1.1296
2019-04-01,1.1234
2019-05-01,1.1187
2019-06-01,1.1295
2019-07-01,1.1211
2019-08-01,1.1129
2019-09-01,1.1011
2019-10-01,1.1058
2019-11-01,1.1051
2019-12-01,1.1114
2020-01-01,1.1098
2020-02-01,1.0911
2020-03-01,1.1046
2020-04-01,1.0871
2020-05-01,1.0907
2020-06-01,1.1259
2020-07-01,1.1488
2020-08-01,1.1831
2020-09-01,1.1785
2020-10-01,1.1768
2020-11-01,1.1826
2020-12-01,1.2168
2021-01-01,1.2178
2021-02-01,1.2094
2021-03-01,1.1902
2021-04-01,1.1965
2021-05-01,1.2146
2021-06-01,1.2048
2021-07-01,1.1821
2021-08-01,1.1767
2021-09-01,1.1765
2021-10-01,1.16
2021-11-01,1.1416
2021-12-01,1.1301
2022-01-01,1.1317
2022-02-01,1.1349
2022-03-01,1.1019
2022-04-01,1.0803
2022-05-01,1.0567
2022-06-01,1.0567
2022-07-01,1.0168
2022-08-01,1.0129
2022-09-01,0.9899
2022-10-01,0.9853
2022-11-01,1.0192
2022-12-01,1.0591
2023-01-01,1.0283119047641986
2023-02-01,1.0373547822650229
2023-03-01,1.041355306393042
2023-04-01,1.0403335302370054
2023-05-01,1.0326755812144168
2023-06-01,1.031775318362314
2023-07-01,1.0233350819873093
2023-08-01,1.019164038826421
2023-09-01,1.0137203172730553
2023-10-01,1.005768647060292
2023-11-01,1.0037706295165363
2023-12-01,1.0194348621003848
2024-01-01,1.0284497480789336
2024-02-01,1.0378425788468921
2024-03-01,1.0419979205635301
2024-04-01,1.0409366023586208
2024-05-01,1.0329822958679853
2024-06-01,1.0320471934500093
2024-07-01,1.0232803256134428
2024-08-01,1.0189478658922417
2024-09-01,1.0132934759821723
2024-10-01,1.005034081489181
2024-11-01,1.0029587420125379
2024-12-01,1.0192291698444553
