,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01
All Regions|All_Regions|All_Grades,207.87390454024,217.37999403183,222.35584970703,225.25620247227,226.97940360313,228.75126231838,229.45162164297,231.41781785171,228.98849642126,227.85199054441,226.43517997821,224.66118210098,176.48845804248,175.53514357705,175.66585578531,165.61872134249,164.94849644486,163.92641943415,162.89721775918,161.32870021927,160.02234892639,158.9107828585,157.87194373709,157.37142574177,150.86502136745,154.49871021136,158.73574563019,159.85922875423,161.27086035791,164.33162643425,168.86979933473,174.17001976894,184.52677350094,197.3184860213,211.70269736252,226.80179168874,438.91845514423,469.69204834058,483.30771294665,504.72643264034
Asia|  AS|All_Grades,202.24409564827,209.5065567486,213.94961729432,216.53847967444,218.42700820448,218.39963895888,217.89744753215,218.97814009285,218.75947213308,217.55837635952,216.01106192119,214.60729547307,173.6126225533,173.84023019142,173.71226386909,160.65933104316,162.6041358041,162.54541080559,162.7567190938,162.27610753213,160.71039273283,159.27292400827,157.99987893869,156.82203743979,147.12365504151,152.78919138884,157.48064517374,159.5934587295,160.96972060253,162.76992889674,163.25293722375,165.17829437607,167.66334962719,173.63388282782,179.16870631523,187.463882569,321.64634678305,381.68480370047,404.76061000643,427.68503293832
Asia|  AS|  STD _P,199.9413510038,205.42011671069,208.47817128317,210.97349823384,213.01319012395,213.12430867586,212.66839662876,213.41030583428,213.36935877394,212.50883465212,211.06649313514,209.56624085606,169.67878592018,170.16178241862,169.85402218529,161.78835739762,160.63125865614,159.95758630326,159.05547508906,158.49362273601,156.86649051871,155.18414138079,153.88604405318,152.60757513387,136.29392902783,145.08072842446,149.24874679937,151.70291702543,153.34849429536,155.60554779439,156.28143002545,158.48242841862,160.29763929107,164.7726875383,171.78519991253,180.0930969669,341.42002441526,384.87099261539,401.88007437187,417.50503988779
Asia|  AS|  PRM _P,207.97162240046,217.12609621298,223.91004233351,226.97313113268,228.75374247519,229.92516774027,229.71750101325,232.10354508063,231.15205552152,228.56525591141,227.06048967968,225.52342104261,184.09834807704,183.86092917552,182.08497018677,158.0485304617,167.03002669419,168.72334382648,171.77017905626,171.76769053501,170.38093076895,169.54855766662,168.39554441875,167.44376225536,193.46367761864,178.24169485614,183.76412769928,182.64532631373,183.88726672344,185.40434962241,185.06173065568,187.40199716032,192.10815337933,202.82589251326,204.81630913198,212.6009853381,252.29407065896,369.68019905487,416.00578298218,459.56501603015
Latin America|  LA|All_Grades,237.64240007736,250.77780393017,256.01614568887,257.2382882651,257.47168121436,258.53324531733,257.39467123546,257.63396673561,249.43451999782,247.86643831083,246.45615445997,244.49439256371,179.44457047315,171.88934656671,168.95002965918,166.08422762969,161.30898940599,159.17874416834,156.01103599369,153.28687975675,152.41123869945,151.6127065727,151.29784507102,152.34977747483,149.87935117322,153.31531779307,154.87152953269,155.32434766144,156.98641014385,163.61655285708,174.3453058981,184.56484218212,204.43495362211,224.19684827652,248.01885487985,271.63855408204,608.4893350655,607.14999298953,613.87492844024,626.36356705946
Latin America|  LA|  STD _P,211.29596147485,215.59550263858,217.26692852841,221.32235326452,223.54317135053,228.54095140909,228.22161480983,228.65497724162,226.89255592018,226.92668574338,225.83043646035,219.42990639249,146.32003901437,157.66326364502,165.93671885493,160.34066836093,154.47773012405,151.60357911774,148.8813232546,146.02647862948,143.72214953364,144.13576173094,142.55209862821,143.27264897698,137.39358744637,136.40885687201,138.3598051626,144.92619985119,153.19298720528,158.07324160585,162.36337765851,192.0655581695,197.54363666286,230.68409470763,256.27180030442,289.15307994424,585.28863702616,597.23893293955,609.12807245169,630.96487670683
Latin America|  LA|  PRM _P,241.03095239293,253.67358103718,258.5225881697,259.37677991646,259.75183413858,260.69283981096,259.01271813467,259.1353018868,250.64473283088,249.01122032881,247.63821819677,246.07811609008,182.80991442991,173.08475831231,169.27672579887,166.61828094607,161.84837756184,159.69147402038,156.49659259251,153.73753642469,152.93414084967,152.03947607161,151.81451606352,152.91155042889,150.13287233909,153.88178185182,155.57916322335,155.73364653035,157.17853240778,163.90479904983,174.85391152087,184.19250250002,204.74983714027,223.89236968514,247.63772811966,270.79032880006,610.75836590277,607.80266507869,614.21339060537,626.02721675762
Oceania|  OC|All_Grades,200.12587905904,209.46676169262,227.2808142306,228.91206385075,230.94214528439,232.38545554945,236.73801978219,237.1129437177,238.87433374866,239.49164453499,238.04309949328,235.85462777952,229.71670930656,211.14900394367,217.96368717454,214.25955403456,210.69613531502,208.47384973686,205.35783804073,201.81329548032,198.83046645843,195.62279717506,193.890451114,193.99361111822,162.49871579883,160.30888862812,173.78825839636,174.86740483811,172.71426917353,175.18692417129,176.74307013959,177.66506555058,202.84908910512,227.6488359419,258.68715200558,274.09023522079,496.84815862329,553.16562935002,578.11157759607,576.9878111704
Oceania|  OC|  STD _P,0.0,206.67597093802,208.93357586207,211.67778558952,212.18422509373,212.2034518592,215.53419398043,215.53419398043,215.53419398043,215.53419398043,215.39111585675,206.59998312663,0.0,0.0,0.0,188.71605674843,188.8234203726,190.65309574067,190.65309574067,190.6532070926,190.6532070926,190.6532070926,190.6532070926,190.48045549064,129.31345553835,129.12663189105,129.33750181272,146.95911082618,146.86790696352,152.72531067724,152.72531067724,152.72531067724,152.59287880822,152.59287880822,152.22186802929,271.94884511256,0.0,0.0,0,0
Oceania|  OC|  PRM _P,200.09355142261,210.43474776898,230.29332576329,231.78302945853,233.39611573156,234.38778460572,238.55619398437,238.92197086048,240.58643992605,241.01467174302,239.41192256977,238.14015116204,229.71670930656,211.14900394367,218.00604694108,216.63952859953,212.39659562986,209.75287313368,206.26469277019,202.44762417034,199.22376476603,195.82718995941,194.01879722538,194.13289622014,169.57595154247,165.52112467264,177.11038413689,177.74636374312,174.7190303696,176.74331943702,178.287556957,179.19065484799,205.5552435396,231.15881058342,263.05920374722,274.22043986985,498.11727094475,553.67317795389,578.44140623118,577.27427433463
Europe|  EU|All_Grades,198.08699271254,213.33067950961,216.32268182376,218.49403220088,218.92803884017,221.34330463909,224.46663828561,225.19121555269,225.67660285676,226.31025047086,224.66894376726,220.67698443151,224.28646956291,219.64399683161,220.37449400735,195.19185513808,183.66095619444,185.49198389194,187.37860140087,185.72074535679,182.26931168379,184.30082134794,182.32565207176,180.16607891525,212.97662851721,199.8931417464,174.57862477521,175.25118797917,179.982984189,177.70682476507,182.07430882506,187.58810768272,193.82060778421,213.35492584448,230.18788301692,244.42126717168,468.78718226183,473.74692190139,484.93923922845,496.20455660062
