,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01
All Regions|All_Regions|All_Grades,823897.31,2107999.58,3117646.32,4059891.65,5185615.89,6406916.85,7651023.02,8782773.0,9759348.26,10584758.82,11048419.09,11629060.16,952432.92,1583916.74,2467953.61,3703680.19,4987416.69,6205874.81,7346028.51,8507343.42,9641373.18,10836026.48,11832180.04,12673809.36,743338.69,1628146.37,2625659.85,3634834.85,4454471.74,5773820.48,7093575.21,8030122.25,9191409.27,10192331.1,11279530.14,12269046.77,848251.68,1890647.65,2761009.27,3906070.35
Asia|  AS|All_Grades,576507.0,1530170.0,2264391.0,2814329.0,3617768.0,4266737.0,4923573.0,5354077.0,5919534.0,6307045.0,6532589.0,6884757.0,778773.0,1191852.0,1696337.0,2412354.0,3168768.0,3847287.0,4466964.0,5076238.0,5802877.0,6558402.0,7131293.0,7694201.0,395120.0,955992.0,1524178.75,2023089.75,2560667.75,3253539.75,3756481.75,4183840.75,4766222.75,5282492.75,5827435.75,6375302.75,476476.0,1107265.0,1624125.0,2229643.0
Asia|  AS|  STD _P,411189.0,996003.0,1461540.0,1835451.0,2373470.0,2927017.0,3413487.0,3759350.0,4125264.0,4323559.0,4513029.0,4709784.0,566314.0,871820.0,1161229.0,1684082.0,2191769.0,2711492.0,3166633.0,3629749.0,4152369.0,4691575.0,5109379.0,5508537.0,320272.0,733766.0,1160663.0,1507187.0,1921630.0,2471307.0,2846542.0,3215139.0,3662606.0,4052394.0,4524818.0,4929777.0,370764.0,875022.0,1292931.0,1689991.0
Asia|  AS|  PRM _P,165318.0,534167.0,802851.0,978878.0,1244298.0,1339720.0,1510086.0,1594727.0,1794270.0,1983486.0,2019560.0,2174973.0,212459.0,320032.0,535108.0,728272.0,976999.0,1135795.0,1300331.0,1446489.0,1650508.0,1866827.0,2021914.0,2185664.0,74848.0,222226.0,363515.75,515902.75,639037.75,782232.75,909939.75,968701.75,1103616.75,1230098.75,1302617.75,1445525.75,105712.0,232243.0,331194.0,539652.0
Latin America|  LA|All_Grades,142201.0,390212.0,595830.0,831008.0,1092936.0,1567416.0,2065418.0,2681751.0,3033385.0,3305768.0,3478744.0,3606112.0,137292.0,311523.0,601055.0,1015708.0,1430940.0,1922384.0,2369743.0,2850782.0,3163722.0,3513441.0,3868239.97,4113304.97,269387.0,554789.0,781964.0,1188822.42,1371669.42,1890521.82,2573841.78,3021150.78,3523098.78,3890649.47,4323642.47,4651296.47,313288.0,654892.0,876290.0,1330546.59
Latin America|  LA|  STD _P,16205.0,29675.0,36199.0,46699.0,68825.0,105281.0,108536.0,132092.0,154556.0,171359.0,188561.0,214314.0,12662.0,24148.0,58791.0,86409.0,104717.0,121869.0,151097.0,166608.0,179583.0,189712.0,215776.0,239731.0,5361.0,17986.0,32135.0,45023.0,66121.0,93446.0,104805.0,142879.0,153946.0,174421.0,190855.0,214856.0,27910.0,40462.0,58323.0,90636.0
Latin America|  LA|  PRM _P,125996.0,360537.0,559631.0,784309.0,1024111.0,1462135.0,1956882.0,2549659.0,2878829.0,3134409.0,3290183.0,3391798.0,124630.0,287375.0,542264.0,929299.0,1326223.0,1800515.0,2218646.0,2684174.0,2984139.0,3323729.0,3652463.97,3873573.97,264026.0,536803.0,749829.0,1143799.42,1305548.42,1797075.82,2469036.78,2878271.78,3369152.78,3716228.47,4132787.47,4436440.47,285378.0,614430.0,817967.0,1239910.59
Oceania|  OC|All_Grades,20596.0,53940.0,98492.0,158764.0,195966.0,251178.0,300169.0,306480.0,346876.0,396605.0,416005.0,461761.0,17579.0,46657.0,114452.0,175075.0,206861.0,237705.0,274030.0,295972.0,346877.0,402947.0,417414.0,417414.0,62454.0,76654.0,157866.0,199334.0,258956.0,303513.0,325518.0,341193.0,384924.0,440241.0,498610.0,532410.0,34517.0,86310.0,132816.0,152922.0
Oceania|  OC|  STD _P,0.0,13891.0,13891.0,22671.0,22671.0,22671.0,23706.0,23706.0,23706.0,23706.0,23706.0,33461.0,0.0,0.0,0.0,14922.0,14922.0,15918.0,15918.0,15918.0,15918.0,15918.0,15918.0,15918.0,10978.0,10978.0,10978.0,18640.0,18640.0,19668.0,19668.0,19668.0,19668.0,19668.0,19668.0,30517.0,0.0,0.0,0.0,0.0
Oceania|  OC|  PRM _P,20596.0,40049.0,84601.0,136093.0,173295.0,228507.0,276463.0,282774.0,323170.0,372899.0,392299.0,428300.0,17579.0,46657.0,114452.0,160153.0,191939.0,221787.0,258112.0,280054.0,330959.0,387029.0,401496.0,401496.0,51476.0,65676.0,146888.0,180694.0,240316.0,283845.0,305850.0,321525.0,365256.0,420573.0,478942.0,501893.0,34517.0,86310.0,132816.0,152922.0
Europe|  EU|All_Grades,84593.31,133677.58,158933.3,206167.63,229322.87,271962.83,312240.0,358068.97,377157.22,444738.76,490479.02,545828.16,18788.92,33884.74,56109.61,100543.19,176447.69,189148.81,225941.51,270301.42,313847.18,347186.48,401183.07,434839.39,16377.69,40711.37,161651.1,213688.68,238878.57,301945.91,413433.68,459637.72,492863.74,554647.88,605541.92,664737.55,23970.68,42180.65,123278.27,184458.76
